Monthly CH-3 factors,,,,
mnthdt: Month-end date,,,,
rf_mon: 1-year bank deposit rate,,,,
mktrf: the excess return on the market,,,,
SMB (Small-minus-big): Size factor,,,,
VMG(Value-minus-growth) Value factor,,,,
Unit: %,,,,
,,,,
mnthdt,rf_mon,mktrf,SMB,VMG
20000131,0.19,14.79,-1.61,-0.84
20000229,0.18,11.97,1.34,-7.28
20000331,0.19,4.32,7.72,-0.5
20000430,0.18,1.68,-0.49,2.43
20000531,0.19,2.2,1.95,2.06
20000630,0.18,2.34,1.11,5.55
20000731,0.19,4.37,1.14,1.93
20000831,0.19,-1.75,2.1,-1.47
20000930,0.18,-5.51,1.83,-0.6
20001031,0.19,1.57,2.83,0.2
20001130,0.18,5.57,1.38,1.93
20001231,0.19,-0.89,1.89,1.69
20010131,0.19,-1.2,0.35,2.24
20010228,0.17,-5.78,-0.45,3.59
20010331,0.19,6.7,1.86,-0.82
20010430,0.18,-1.37,0.96,-1.88
20010531,0.19,2.55,2.64,-1.8
20010630,0.18,0.15,1.49,2.01
20010731,0.19,-13.45,-0.19,-0.26
20010831,0.19,-4.06,0.75,-0.98
20010930,0.18,-4.51,-1.17,3.25
20011031,0.19,-4.77,-1.75,-0.46
20011130,0.18,3.46,2.35,1.41
20011231,0.19,-6.08,-0.89,5.34
20020131,0.19,-9.93,-3.37,4.92
20020228,0.17,2.14,2.2,0.39
20020331,0.17,5.53,2.05,-2.39
20020430,0.16,3.84,1.23,-1.78
20020531,0.17,-8.64,-1.29,-1.66
20020630,0.16,14.23,-3.31,1.09
20020731,0.17,-4.6,1.44,1.44
20020831,0.17,0.73,-0.39,0.65
20020930,0.16,-5.44,-0.89,0.65
20021031,0.17,-5,-0.98,0.39
20021130,0.16,-5.46,-3.21,2.42
20021231,0.17,-5.35,-0.19,0.64
20030131,0.17,9.36,1.38,1.74
20030228,0.15,0.63,0.99,0.1
20030331,0.17,-0.4,-2.39,4.15
20030430,0.16,0.67,-5.53,7.01
20030531,0.17,4.14,-0.49,0.46
20030630,0.16,-6.2,-0.43,2.95
20030731,0.17,-0.61,-2.93,2.6
20030831,0.17,-3.81,0.81,-0.86
20030930,0.16,-4.41,0.31,0.49
20031031,0.17,-1.67,-3.81,9.41
20031130,0.16,2.78,0.77,2.55
20031231,0.17,6.16,-5.47,10.36
20040131,0.17,5.96,3.96,0.28
20040229,0.16,6.05,3.26,-3.37
20040331,0.17,3.61,2.31,2.96
20040430,0.16,-9.36,0.86,3.9
20040531,0.17,-2.66,1.11,-1.06
20040630,0.16,-10.2,-2.22,5.07
20040731,0.17,-0.34,-0.81,3.15
20040831,0.17,-3.56,0.13,4.86
20040930,0.16,4.57,1.05,3.83
20041031,0.17,-5.41,-0.21,4.12
20041130,0.18,1.18,3.66,-2.9
20041231,0.19,-6.01,-1.43,5.58
20050131,0.19,-6.16,-1.16,2.38
20050228,0.17,9.34,1.82,1.54
20050331,0.19,-9.55,-3.18,4.71
20050430,0.18,-2.25,-4.58,7.21
20050531,0.19,-8.42,5.11,-4.68
20050630,0.18,2,-1.49,4.93
20050731,0.19,0.1,-6.62,8.1
20050831,0.19,8.36,7.39,-4.38
20050930,0.18,-0.49,3.29,2.92
20051031,0.19,-5.75,-0.79,1.81
20051130,0.18,0.23,1.05,-0.62
20051231,0.19,6.07,-3.73,4.37
20060131,0.19,8.62,-0.72,-0.42
20060228,0.17,3.61,-1.69,-2.62
20060331,0.19,0.65,-1.22,1.72
20060430,0.18,11.28,-1.04,4.69
20060531,0.19,16.03,9.16,-8.13
20060630,0.18,2.59,5.38,3.75
20060731,0.19,-6.88,4.05,-1.24
20060831,0.2,3.94,-0.88,-0.16
20060930,0.2,4.64,-1.09,-0.98
20061031,0.21,2.65,-2.5,8.28
20061130,0.2,14.63,-11.81,3.99
20061231,0.21,13.93,-8.73,6.17
20070131,0.21,13.68,11.91,1.46
20070228,0.19,6.51,12.26,-5.9
20070331,0.22,11.09,6.43,-1.15
20070430,0.23,24.58,8.2,-9.3
20070531,0.24,9.41,-1.37,0.08
20070630,0.25,-9.22,-5.64,13.35
20070731,0.27,17.61,5.33,-3.15
20070831,0.29,15.16,-3.68,1.92
20070930,0.3,6.17,-1.35,3.51
20071031,0.32,4.83,-12.65,13.28
20071130,0.31,-15.26,10.79,3.42
20071231,0.33,11.86,9.18,-0.92
20080131,0.34,-15.7,9.04,-1.59
20080229,0.32,2.29,8.68,0.8
20080331,0.34,-19.92,0.32,-0.04
20080430,0.33,4.6,-8.91,7.63
20080531,0.34,-6.93,1.97,-5.64
20080630,0.33,-20.76,-4.65,4.09
20080731,0.34,1.65,7.43,-1.66
20080831,0.34,-15.16,-7.57,4.16
20080930,0.33,-4.69,-5.87,-4.16
20081031,0.33,-25.47,-0.05,4.42
20081130,0.28,9.37,11.22,-3.91
20081231,0.2,-2.15,9.46,3.37
20090131,0.19,9.65,7.77,0.79
20090228,0.17,4.91,2.5,-4.33
20090331,0.19,14.63,7.53,-0.92
20090430,0.18,4.17,4.1,3.93
20090531,0.19,6.09,0.72,-2.62
20090630,0.18,12.65,-7.56,2.59
20090731,0.19,15.55,-5.52,-8.08
20090831,0.19,-21.82,9.4,5.21
20090930,0.18,4.57,0.11,5.66
20091031,0.19,8.29,4.42,0.42
20091130,0.18,7.31,8.89,-0.6
20091231,0.19,2.25,3.08,3.93
20100131,0.19,-8.95,6.03,-1.24
20100228,0.17,2.3,3.37,-2.5
20100331,0.19,1.49,2.69,1.16
20100430,0.18,-7.91,0.92,0.09
20100531,0.19,-8.7,-0.18,0
20100630,0.18,-7.4,-0.91,2.99
20100731,0.19,11.27,5.41,1.17
20100831,0.19,1.78,5.51,-3.9
20100930,0.18,0.64,-1.57,-1.93
20101031,0.2,12.39,-3.54,1.57
20101130,0.2,-4.72,5.37,0.4
20101231,0.21,-1.14,-1.12,3.99
20110131,0.23,-2.75,-0.84,4.26
20110228,0.22,4.84,4.77,-3.36
20110331,0.25,-0.59,0.78,1.63
20110430,0.26,-1.51,-1.66,2.1
20110531,0.27,-6.44,-0.45,1.06
20110630,0.26,2.27,1.25,0.36
20110731,0.29,-1.62,2.32,-0.68
20110831,0.29,-4.88,1.8,0.75
20110930,0.28,-9.22,-1.96,3.68
20111031,0.29,4.03,0.14,1.04
20111130,0.28,-5.47,1.84,1.4
20111231,0.29,-7.33,-7.44,7.68
20120131,0.29,2.48,-3.56,2.01
20120229,0.27,6.97,5.45,-3.09
20120331,0.29,-7.03,-0.66,1.23
20120430,0.28,5.46,1.04,-1.68
20120531,0.29,0.06,0.77,-0.69
20120630,0.27,-5.21,-0.31,4.75
20120731,0.25,-5.76,-2.99,4.92
20120831,0.25,-2.85,6.19,-0.84
20120930,0.24,2.06,-2.09,0.15
20121031,0.25,-1.22,1.56,0.59
20121130,0.24,-6.35,-4.88,3.66
20121231,0.25,15.02,0.5,-0.9
20130131,0.25,4.93,2.27,0.73
20130228,0.23,0,3.31,0.06
20130331,0.25,-5.49,2.24,0.38
20130430,0.24,-2.5,-0.61,1.33
20130531,0.25,7.79,5.53,-3.83
20130630,0.24,-13.46,-1.68,3.55
20130731,0.25,2.65,2.75,-2.96
20130831,0.25,4.99,4.27,0.97
20130930,0.24,4.25,-0.71,-2.89
20131031,0.25,-2.65,1.26,5.47
20131130,0.24,4.18,3.74,-2.79
20131231,0.25,-4.58,1.8,3.4
20140131,0.25,-2.3,3.22,-4.83
20140228,0.23,0.53,4.33,-1.15
20140331,0.25,-2.69,1.75,4.92
20140430,0.24,-1.09,-1.39,1.91
20140531,0.25,1.06,1.26,-3.27
20140630,0.24,2.16,2.38,-2.19
20140731,0.25,7.71,0.88,1.88
20140831,0.25,1.19,2.61,-2.98
20140930,0.24,6.96,5.38,-3.32
20141031,0.25,1.54,0.69,2.64
20141130,0.24,8.83,-1.76,4.76
20141231,0.23,15.25,-17.35,15.17
20150131,0.23,0.45,7.52,-2.47
20150228,0.21,4.31,1.61,-3.06
20150331,0.21,14.92,8.01,-4.46
20150430,0.2,16.01,-0.65,-0.91
20150531,0.2,6.99,17.73,-10.28
20150630,0.18,-8.12,-2.21,8.76
20150731,0.17,-14.61,-4.17,6.71
20150831,0.16,-13.81,0.58,1.98
20150930,0.14,-4.31,3.68,2.25
20151031,0.14,14.39,7.65,-5.95
20151130,0.12,3.24,8.52,-0.04
20151231,0.13,3.17,3.8,4.21
20160131,0.13,-25.09,-5.23,5.99
20160229,0.12,-2.2,-0.2,0.83
20160331,0.13,14.52,6.77,-0.03
20160430,0.12,-2.71,1.68,1.02
20160531,0.13,-0.11,-0.71,1.58
20160630,0.12,2.21,4.52,-0.83
20160731,0.13,1.15,-1.43,5.96
20160831,0.13,3.71,0.56,-0.87
20160930,0.12,-2.54,1.39,2.08
20161031,0.13,2.48,1.39,-0.76
20161130,0.12,3.64,-1.36,1.28
20161231,0.13,-5.65,0,0.33
20170131,0.13,0.7,-3.15,2.85
20170228,0.11,2.82,1.27,0.34
20170331,0.13,-0.84,-0.55,3.36
20170430,0.12,-2.27,-3.81,4.69
20170531,0.13,-1.91,-5.16,5.68
20170630,0.12,4.14,-0.02,2.66
20170731,0.13,2.45,-1.25,4.48
20170831,0.13,2.48,-0.37,-2.28
20170930,0.12,0.62,0.93,-0.78
20171031,0.13,1.35,-3.9,3.82
20171130,0.12,-2.93,-3.13,3.78
20171231,0.13,-0.12,-1.79,2.29
20180131,0.13,3.66,-5.84,6.67
20180228,0.11,-5.19,0.37,0.19
20180331,0.13,-1.41,4.26,-6.66
20180430,0.12,-3.28,-1.25,-0.04
20180531,0.13,0.27,-1.53,4.49
20180630,0.12,-7.89,-2.86,3.71
20180731,0.13,0.9,-0.29,3.66
20180831,0.13,-5.86,-2.6,0.71
20180930,0.12,2.29,-3.01,3.09
20181031,0.13,-8.94,-1.26,2.55
20181130,0.12,0.86,4.64,-3.16
20181231,0.13,-4.16,-0.32,1.94
20190131,0.13,2.88,-4.6,6.35
20190228,0.11,15.74,5.04,-9.55
20190331,0.13,6.44,4.23,-2.81
20190430,0.12,-1.33,-2.29,3.06
20190531,0.13,-6.36,1.4,0.35
20190630,0.12,3.15,-3.22,3.98
20190731,0.13,-0.17,-3.11,0.71
20190831,0.13,-0.77,-1.55,-3.63
20190930,0.12,0.61,0.69,1.13
20191031,0.13,1.11,-2.18,1.35
20191130,0.12,-1.8,-0.81,1.83
20191231,0.13,6.86,1.11,0.21
20200131,0.13,-0.7,0.38,-3.06
20200229,0.12,-0.89,0.7,-3.72
20200331,0.13,-6.27,2.99,5.08
20200430,0.12,5.07,-4.06,0.38
20200531,0.13,0.3,1.64,0.12
20200630,0.12,8.01,-1.83,1.03
20200731,0.13,12.6,0.42,0.76
20200831,0.13,1.99,2.2,1.7
20200930,0.12,-5.79,-2.19,1.1
20201031,0.13,0.86,-1.84,1.24
20201130,0.12,3.65,-1.3,4.63
20201231,0.13,2.99,-9.23,-4.72
20210131,0.13,0.34,-9.57,3.36
20210228,0.13,-0.44,5.29,6.43
20210331,0.13,-2.93,5.88,4.87
20210430,0.13,1.77,-2.86,-4.17
20210531,0.13,5.05,0.75,-3.35
20210630,0.13,0.79,1.64,-4.6
20210731,0.13,-4.1,4.54,-3.54
20210831,0.13,2.85,4.84,6.8
20210930,0.13,-0.36,-1.35,4.94
20211031,0.13,-0.27,-3.19,-4.33
20211130,0.13,1.96,11.52,-3.8
20211231,0.13,1.01,3.67,5.07
